
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0     13,028 K
Secure System                  428 Services                   0    113,756 K
Registry                       472 Services                   0     44,976 K
smss.exe                      1356 Services                   0      2,892 K
csrss.exe                     1960 Services                   0      8,428 K
wininit.exe                   1444 Services                   0     26,140 K
services.exe                  1988 Services                   0     33,264 K
LsaIso.exe                    2120 Services                   0      3,640 K
lsass.exe                     2140 Services                   0     74,524 K
fontdrvhost.exe               2268 Services                   0      4,140 K
svchost.exe                   2284 Services                   0     46,664 K
WUDFHost.exe                  2380 Services                   0      6,984 K
svchost.exe                   2436 Services                   0     24,800 K
svchost.exe                   2476 Services                   0     14,516 K
WUDFHost.exe                  2536 Services                   0      7,480 K
svchost.exe                   2692 Services                   0      6,960 K
svchost.exe                   2840 Services                   0     13,124 K
svchost.exe                   2848 Services                   0     18,712 K
svchost.exe                   2856 Services                   0     14,100 K
svchost.exe                   2864 Services                   0     13,888 K
svchost.exe                   2956 Services                   0      8,236 K
svchost.exe                   3008 Services                   0     11,800 K
svchost.exe                   3016 Services                   0     18,128 K
svchost.exe                   1388 Services                   0      7,416 K
svchost.exe                   1472 Services                   0     10,336 K
svchost.exe                   2796 Services                   0     10,176 K
svchost.exe                   3160 Services                   0     22,420 K
svchost.exe                   3472 Services                   0     13,304 K
NVDisplay.Container.exe       3728 Services                   0     40,284 K
amdfendrsr.exe                3784 Services                   0      9,568 K
svchost.exe                   3792 Services                   0     21,568 K
atiesrxx.exe                  3800 Services                   0     18,136 K
svchost.exe                   3976 Services                   0      7,596 K
svchost.exe                   3984 Services                   0     10,060 K
svchost.exe                   3992 Services                   0     17,536 K
svchost.exe                   4000 Services                   0     23,524 K
Memory Compression            3232 Services                   0  2,392,832 K
svchost.exe                   3396 Services                   0     12,852 K
svchost.exe                   3700 Services                   0     10,860 K
svchost.exe                   3708 Services                   0     13,588 K
svchost.exe                   4100 Services                   0     20,972 K
svchost.exe                   4132 Services                   0     10,668 K
svchost.exe                   4220 Services                   0     11,092 K
vpnagent.exe                  4228 Services                   0     26,044 K
svchost.exe                   4236 Services                   0     12,856 K
svchost.exe                   4280 Services                   0     34,540 K
svchost.exe                   4376 Services                   0     24,900 K
svchost.exe                   4444 Services                   0     11,224 K
svchost.exe                   4632 Services                   0     13,560 K
audiodg.exe                   4644 Services                   0     44,512 K
svchost.exe                   4688 Services                   0      9,060 K
svchost.exe                   4864 Services                   0     25,160 K
wzsvc.exe                     5020 Services                   0     13,864 K
svchost.exe                   5028 Services                   0     23,788 K
svchost.exe                   5036 Services                   0     18,100 K
WmiPrvSE.exe                  5452 Services                   0     23,128 K
spoolsv.exe                   5576 Services                   0     18,452 K
svchost.exe                   5740 Services                   0     10,460 K
AmdPpkgSvc.exe                5976 Services                   0      7,272 K
FeverGamesService.exe         5984 Services                   0     12,376 K
ElevocControlService.exe      5996 Services                   0     14,028 K
OfficeClickToRun.exe          6004 Services                   0     49,852 K
svchost.exe                   6012 Services                   0     60,656 K
svchost.exe                   6020 Services                   0     58,744 K
GAService.exe                 6028 Services                   0     15,892 K
LenovoUtilityService.exe      6040 Services                   0     15,416 K
LenovoPcManagerService.ex     6048 Services                   0     13,872 K
LeMCPManagerService.exe       6056 Services                   0      9,692 K
ModelMgrService.exe           6068 Services                   0     31,512 K
ldremoteservice.exe           6076 Services                   0     17,992 K
LeCloudService.exe            6084 Services                   0     14,056 K
svchost.exe                   6092 Services                   0     14,496 K
LenovoSmartService.exe        6104 Services                   0     10,140 K
LISFService.exe               6112 Services                   0     21,044 K
LenovoServiceAS.exe           6128 Services                   0     13,728 K
MSOfficePLUSService.exe       5088 Services                   0     54,892 K
svchost.exe                   5276 Services                   0     22,112 K
LZService.exe                 5308 Services                   0     18,116 K
NahimicService.exe            3768 Services                   0     38,684 K
XLSmartService.exe            5772 Services                   0     10,196 K
MpDefenderCoreService.exe     6148 Services                   0     29,424 K
RtkBtManServ.exe              6156 Services                   0      9,688 K
ReadyForService.exe           6164 Services                   0     13,344 K
